,address_value,first_block_time,first_block_height,last_block_time,last_block_height,life_time
0,1KP72fBmh3XBRfuJDMn53APaqM6iMRspCh,2013-09-07 08:52:30,256568,2013-11-19 12:03:48,270443,73 days 03:11:18.000000000
1,1BFguNQ3CWURg8TTqkiowF9dWbh4dgcqo4,2013-09-07 13:58:24,256599,2013-10-03 08:19:56,261437,25 days 18:21:32.000000000
2,121G2n8yvEaVy6Gv2CQqs7RN2f4PvfVBtK,2013-09-07 19:51:08,256642,2013-09-29 00:41:41,260660,21 days 04:50:33.000000000
3,1DZCGXjvYd3BMSHM5fVkS2dhySDSihAjw2,2013-09-07 20:21:58,256644,2013-09-11 23:39:45,257410,4 days 03:17:47.000000000
4,1KNtsQb3iiJFvHd5PuEycLNM4fNWrjYJmV,2013-09-09 16:10:24,256962,2013-09-14 04:20:49,257868,4 days 12:10:25.000000000
5,14Af7Ad93vz1rGJTSFn7w7nZ9XoiWUcmNM,2013-09-10 19:50:17,257177,2013-09-11 23:39:45,257410,1 days 03:49:28.000000000
6,1HSPr92v7ypRxsJFPFFx4ai7GhXSQma56d,2013-09-11 23:39:45,257410,2013-10-03 08:19:56,261437,21 days 08:40:11.000000000
7,16jMEqCjJn91ckzbw7MpKmc2ivG5PguYTB,2013-09-14 04:20:49,257868,2013-10-15 15:16:44,263873,31 days 10:55:55.000000000
8,18SaxWfBP2oLqdZygaNa6eQfHgtKkX3YNo,2013-09-14 04:20:49,257868,2013-10-15 15:16:44,263873,31 days 10:55:55.000000000
9,18iEz617DoDp8CNQUyyrjCcC7XCGDf5SVb,2013-10-01 22:01:36,261158,2013-11-01 11:46:53,267280,30 days 13:45:17.000000000
10,1JjUch6gcdJb7Puq1qb4Lgmnyr88QMkYBr,2013-10-03 08:19:56,261437,2013-10-22 15:55:46,265346,19 days 07:35:50.000000000
11,1HQJzS1kC9zhjxr7RGHjhvj1XuzCpzqLgb,2013-10-05 12:43:01,261863,2013-10-15 15:16:44,263873,10 days 02:33:43.000000000
12,1PgE9vt9sfCyFj4rmL8uL9WqM2BqMXeE25,2013-10-08 07:14:49,262350,2013-10-15 15:16:44,263873,7 days 08:01:55.000000000
13,1G9s21qsoiMMp8xYXBRiDdiXH654pSgzsP,2013-10-08 11:13:16,262375,2013-10-13 21:03:42,263430,5 days 09:50:26.000000000
14,1PUHb4rzzVw82vGWrTx2esTqWV34qsiLoM,2013-10-08 11:13:16,262375,2013-10-08 23:24:22,262459,0 days 12:11:06.000000000
15,13S4DGMrq2FNeMCR6w3TQwVGGDN641kMTK,2013-10-08 12:48:29,262392,2013-10-10 00:38:38,262650,1 days 11:50:09.000000000
16,17w9bMf2DEcDUbpfVFodb34LpJShHdCTRv,2013-10-08 13:20:53,262394,2013-10-08 23:24:22,262459,0 days 10:03:29.000000000
17,12Z71WcLDC6pLQiyWATU2xx91455PeE3ki,2013-10-08 13:20:53,262394,2013-10-08 23:24:22,262459,0 days 10:03:29.000000000
18,18SghQmtGjDaUre3yyhsfBajeMrEDAkEtJ,2013-10-08 13:20:53,262394,2013-10-10 00:38:38,262650,1 days 11:17:45.000000000
19,1BgBX4AHDDyCNaHFUFdgn9HpUUbC4uNGuf,2013-10-08 14:38:29,262399,2013-10-15 15:16:44,263873,7 days 00:38:15.000000000
20,1548XtfEVgbKjkzbB3KeZUcmf8vyWWZcae,2013-10-08 14:38:29,262399,2013-10-08 23:24:22,262459,0 days 08:45:53.000000000
21,14UWPLULEXvtUz8Pc46AJTCLmFpg7FS9LN,2013-10-08 14:38:29,262399,2013-10-11 21:23:33,263000,3 days 06:45:04.000000000
22,12xkY3XezVZUsetYYxutJSUUSLQ2byyRBJ,2013-10-08 14:57:29,262401,2013-10-10 00:38:38,262650,1 days 09:41:09.000000000
23,12zK22ydWiUWLVcG3DXZsX8crFMv82R9u6,2013-10-08 15:56:18,262408,2013-10-10 00:38:38,262650,1 days 08:42:20.000000000
24,1LbsNHA5yTtUPmDozodEpvRQpBRNtuGuhu,2013-10-08 17:00:32,262418,2013-10-13 21:03:42,263430,5 days 04:03:10.000000000
25,1PHq99kxUC9PNd8jYfvZ6K5ov3oGw3LfpV,2013-10-08 17:00:32,262418,2013-10-11 21:23:33,263000,3 days 04:23:01.000000000
26,1AU4Bdf13bCkc2fTkyAQc4zA25kuJQbu8H,2013-10-08 17:41:54,262420,2013-10-08 23:24:22,262459,0 days 05:42:28.000000000
27,1H2rvLTArfMTNsWK7U4tNqvN9V5K5cDZaF,2013-10-08 18:03:37,262421,2013-10-10 00:38:38,262650,1 days 06:35:01.000000000
28,1LDKfUJGBEbso4gdbnJQ3HBm78H7hd1j6g,2013-10-08 18:26:18,262423,2013-10-10 00:38:38,262650,1 days 06:12:20.000000000
29,193tqzCaEGbUDw114QwZYoLJvEoB3Ao5K8,2013-10-08 18:26:18,262423,2013-10-10 00:38:38,262650,1 days 06:12:20.000000000
30,12zWkbSTuKKe2mKgKJrrmZ5hm2xCDZJsQC,2013-10-08 18:49:19,262424,2013-10-15 15:16:44,263873,6 days 20:27:25.000000000
31,1BQqNrGCeMK6uFfQ4PrQ3bXZqzaYbpDy76,2013-10-08 18:56:53,262425,2013-10-15 15:16:44,263873,6 days 20:19:51.000000000
32,14ujLQwtnQjnxyp7KtyHKhj8dsgoBkTwcb,2013-10-08 19:27:25,262427,2013-10-08 23:24:22,262459,0 days 03:56:57.000000000
33,1Fo5MU4CLnXnEhSSPgbP4J7B9ZDsa7NDuU,2013-10-08 19:41:34,262429,2013-10-15 15:16:44,263873,6 days 19:35:10.000000000
34,1Azj2voL5AnDnGeND6DxjUVtv5MUNLkcok,2013-10-08 20:27:44,262434,2013-10-12 14:25:54,263144,3 days 17:58:10.000000000
35,1JsMYv9rEe1FCDfejvJyviRqnGf9pStZ6e,2013-10-08 20:43:13,262436,2013-10-12 14:25:54,263144,3 days 17:42:41.000000000
36,1DS9WQvcY6suYHpsNejLqEuwkdanXSBeiz,2013-10-08 21:00:32,262440,2013-10-11 21:23:33,263000,3 days 00:23:01.000000000
37,1NzQGLLzxWumfnP2he2bQhdmxu4ka5i9Uj,2013-10-08 22:50:09,262451,2013-10-13 21:03:42,263430,4 days 22:13:33.000000000
38,1NPqptRx484Ntyt8SuZRPKVsekJHeYjTme,2013-10-09 00:03:11,262468,2013-10-15 15:16:44,263873,6 days 15:13:33.000000000
39,1P4wU3HaZT2ANajv4cnC2VD8t1WVUd4eo9,2013-10-09 05:04:39,262511,2013-10-10 00:38:38,262650,0 days 19:33:59.000000000
40,13RZBcRRFWoee6mMxBjB6NuB4PU6U9ZQay,2013-10-09 07:01:10,262529,2013-10-11 21:23:33,263000,2 days 14:22:23.000000000
41,1J2vjU43q7Ga9moLvMz6vHEZtFGx5cTien,2013-10-09 07:18:58,262531,2013-10-10 00:38:38,262650,0 days 17:19:40.000000000
42,1CTKANq2He45bRz7o9kTLX8sVATgq5Jc59,2013-10-09 08:29:20,262539,2013-10-15 02:12:02,263734,5 days 17:42:42.000000000
43,1DXFJ9L8i8YTQomQnF9s7mmFwsBQ2UtDwy,2013-10-09 09:13:07,262545,2013-10-10 00:38:38,262650,0 days 15:25:31.000000000
44,1QA3Ho9g5b2U31gBCQzo4b5tnJVmM8R5Kv,2013-10-09 11:20:02,262566,2013-10-13 21:03:42,263430,4 days 09:43:40.000000000
45,1DsjoUo82Sr169usUW1yqUjnReffjJzLfF,2013-10-09 11:27:09,262567,2013-10-10 00:38:38,262650,0 days 13:11:29.000000000
46,1NBGp3YUVwMFc3vKvHE2XLD8S3uzPN9Ujm,2013-10-09 12:19:05,262572,2013-10-15 15:16:44,263873,6 days 02:57:39.000000000
47,1EDhbqWc1u8HEQn9SRzx4dK2CC4RTubcEW,2013-10-09 12:45:59,262575,2013-10-12 14:25:54,263144,3 days 01:39:55.000000000
48,1CBtKExFSKoePhBHuuEkSfr7f6R8qYJ4ik,2013-10-09 14:47:49,262584,2013-10-11 21:23:33,263000,2 days 06:35:44.000000000
49,1CCuc7hReEDzPM8hbVRnKMtMncTD117yWt,2013-10-09 15:03:23,262585,2013-10-11 21:23:33,263000,2 days 06:20:10.000000000
50,1Ntp9y37tWGpibxUs4jSzLkMnT4GRn9Txv,2013-10-09 15:31:45,262588,2013-10-10 00:38:38,262650,0 days 09:06:53.000000000
51,1CcYTGyWVmoL9XX7UB4BxCFjkMucWLxjDR,2013-10-09 15:47:39,262589,2013-10-15 15:16:44,263873,5 days 23:29:05.000000000
52,19kSg47CibsBZPwABbTRQN6B8porvaaWze,2013-10-09 16:29:30,262592,2013-10-13 21:03:42,263430,4 days 04:34:12.000000000
53,1PBZGajyhi8M9436Amt4SYLf9r2BMHCEPA,2013-10-09 16:41:20,262593,2013-10-15 15:16:44,263873,5 days 22:35:24.000000000
54,1LK4EgUYGm5uE3xUWNr16nmYoYChn7TwQf,2013-10-09 19:27:08,262613,2013-10-11 21:23:33,263000,2 days 01:56:25.000000000
55,1F9BSt82UM8e89Aebrwic1eCMPCoGGEJxM,2013-10-09 19:42:24,262614,2013-10-15 02:12:02,263734,5 days 06:29:38.000000000
56,15WofwrSiXYdNzGfFnXVnBcWr84oZ6snZM,2013-10-09 19:42:24,262614,2013-10-15 02:12:02,263734,5 days 06:29:38.000000000
57,13oy8a8Ytfwue3oAR3nBG796nFNyKnmhMg,2013-10-09 19:52:50,262615,2013-10-15 15:16:44,263873,5 days 19:23:54.000000000
58,12bQ3XUrzSB2UMcTmnGm9c8exvAg2idQnZ,2013-10-09 20:17:32,262617,2013-10-15 02:12:02,263734,5 days 05:54:30.000000000
59,1LmoZhPL7DXoNW82LmmzKTw1vEsoKUjK3F,2013-10-09 21:52:51,262629,2013-10-15 15:16:44,263873,5 days 17:23:53.000000000
60,1NZnh3sWpHWrP5TjaSJFHYLBN9jNL61RRa,2013-10-09 22:41:57,262633,2013-10-10 00:38:38,262650,0 days 01:56:41.000000000
61,1Bp8Fya4qwBqLpzRCKaFQEdv4uui9raFTh,2013-10-10 00:55:29,262651,2013-10-11 21:23:33,263000,1 days 20:28:04.000000000
62,1DAeUa9K2unQzQP1zaGeuQbewV8spScf3r,2013-10-10 01:18:16,262655,2013-10-12 14:25:54,263144,2 days 13:07:38.000000000
63,1QEW5xLbPnZRBiqpUsMNEcEcq6sy12cKPy,2013-10-10 02:25:53,262667,2013-10-15 02:12:02,263734,4 days 23:46:09.000000000
64,1CKbDAqne5Y5NZkYG9uXoEoFxxwfL5f192,2013-10-10 02:43:06,262669,2013-10-15 15:16:44,263873,5 days 12:33:38.000000000
65,18eFXVT8goCQPAvvTEzSJab5QB5pDdDLNx,2013-10-10 02:51:23,262671,2013-10-11 21:23:33,263000,1 days 18:32:10.000000000
66,1CnLpveGjnL3T1a9h2N7ekZLQM9odjuxDr,2013-10-10 03:34:38,262677,2013-10-15 15:16:44,263873,5 days 11:42:06.000000000
67,16uYjskZ5e85aZfrbYVM9fthDTrhTW9GbV,2013-10-10 04:22:23,262681,2013-10-12 14:25:54,263144,2 days 10:03:31.000000000
68,1BC8qqHZgoBWXVasLXwHpKH8Ucuf2iZteG,2013-10-10 05:29:26,262687,2013-10-15 02:12:02,263734,4 days 20:42:36.000000000
69,1AdbhDHUo6LaEirHXsbcKg9BsiuKFPo6Uu,2013-10-10 07:17:36,262705,2013-10-15 15:16:44,263873,5 days 07:59:08.000000000
70,1Pc4r1wBWRXmJiEBQWPrw9pTdF5srESZLP,2013-10-10 07:42:09,262710,2013-10-15 15:16:44,263873,5 days 07:34:35.000000000
71,1FXuyMgajuYWJHYNgY43bhMFjw8vprBUTD,2013-10-10 07:50:22,262711,2013-10-11 21:23:33,263000,1 days 13:33:11.000000000
72,1GTxj5VvnMDqHvGTdzyxSP2n2cGQBELZ6c,2013-10-10 08:37:26,262713,2013-11-14 17:12:31,269607,35 days 08:35:05.000000000
73,1Pf7ZDS6hmHNZHHkL9WRmRWoLpqJ1TeVTe,2013-10-10 08:37:26,262713,2013-10-30 12:03:52,266876,20 days 03:26:26.000000000
74,168bWbZF6VcQnVm1wBoeKWKPyhy771W6dx,2013-10-10 10:11:06,262725,2013-10-15 15:16:44,263873,5 days 05:05:38.000000000
75,1CddRG6twF61qs9Mr1YEuVqma6eiynNcYb,2013-10-10 11:14:02,262734,2013-10-15 15:16:44,263873,5 days 04:02:42.000000000
76,1GecZMfEtpWgEZaWXyGyehmuzXKCW9DhGL,2013-10-10 11:59:31,262739,2013-10-11 21:23:33,263000,1 days 09:24:02.000000000
77,18mWpTuUPiZXu8MxRzwNfKv57DQDfJ9azK,2013-10-10 12:09:53,262743,2013-10-13 21:03:42,263430,3 days 08:53:49.000000000
78,1E4ZaMnkE2XAcyuFMiMKZ8xpRCUTd55SDe,2013-10-10 12:21:56,262747,2013-10-13 21:03:42,263430,3 days 08:41:46.000000000
79,1Ahg7avfFGsLiHvgDPH28gNhLpEN9zqi6y,2013-10-10 12:55:36,262754,2013-10-15 02:12:02,263734,4 days 13:16:26.000000000
80,1JRZwX3cmQxtDvCvmoova2j2ZXaX4V8Ekq,2013-10-10 13:15:40,262757,2013-10-11 21:23:33,263000,1 days 08:07:53.000000000
81,144eFKYQJ2hUL9hJ9v9S25X453Cbtpvej1,2013-10-10 13:15:40,262757,2013-10-12 14:25:54,263144,2 days 01:10:14.000000000
82,17mdKEAqspuuvtS6kcZZft7JBjscAQLjrL,2013-10-10 14:10:18,262764,2013-10-12 14:25:54,263144,2 days 00:15:36.000000000
83,17TmrfBEWgXhW3DC9iWw7sobsD8rUb6TMS,2013-10-10 14:10:18,262764,2013-10-11 21:23:33,263000,1 days 07:13:15.000000000
84,1M5GHvYVAtwJ9aZi2GWiNpNQwcimYReXqs,2013-10-10 14:10:18,262764,2013-10-15 15:16:44,263873,5 days 01:06:26.000000000
85,1CuYHGqGAaKUr71NtEC3FS7fXqWePpHbKZ,2013-10-10 14:11:26,262765,2013-10-15 15:16:44,263873,5 days 01:05:18.000000000
86,1LPzWE8mQSK7NTLkVbRvUn39pDsETLfiAr,2013-10-10 14:27:43,262767,2013-10-15 02:12:02,263734,4 days 11:44:19.000000000
87,1F1maThkZaAhLjftMEhQjWKHXmTVN2q9Vb,2013-10-10 14:50:10,262769,2013-10-12 14:25:54,263144,1 days 23:35:44.000000000
88,1Lm23UB6oaiAazN5toNp18N2EuVSvFwm78,2013-10-10 15:04:29,262770,2013-10-15 15:16:44,263873,5 days 00:12:15.000000000
89,19Wem2PzT7BVyLYPxzcwULigX7ZotRoZa1,2013-10-10 15:04:29,262770,2013-10-11 21:23:33,263000,1 days 06:19:04.000000000
90,172fBq95Vw5qzR6TpNQDCjuj6Q3EiCPw7V,2013-10-10 15:26:38,262774,2013-10-13 21:03:42,263430,3 days 05:37:04.000000000
91,1FE32xcN5mPetyPqAcJSzSjgVeL84jEkWP,2013-10-10 15:46:30,262780,2013-10-13 21:03:42,263430,3 days 05:17:12.000000000
92,1QFo25EYXrjGK35STnYfHgsbUR5XLaEmQs,2013-10-10 16:07:20,262786,2013-10-15 02:12:02,263734,4 days 10:04:42.000000000
93,1KmVxgLxhgbxwEfu7ntCmwUCq7Lhe8u9oF,2013-10-10 16:45:09,262793,2013-10-15 02:12:02,263734,4 days 09:26:53.000000000
94,1C4DD4Uzast5jLALkc22vy8TVccjbeRMkt,2013-10-10 17:34:05,262800,2013-10-12 14:25:54,263144,1 days 20:51:49.000000000
95,13N36rkC9Pbei3Z2fyNYvLd8wJwMxdXji8,2013-10-10 18:21:11,262801,2013-10-12 14:25:54,263144,1 days 20:04:43.000000000
96,1HZFJBtpPXmpxi8v4iSrWRydkPfP77QvBT,2013-10-10 18:38:11,262805,2013-10-12 14:25:54,263144,1 days 19:47:43.000000000
97,1BPJSfJxCKYv7UN4n8UgoDYVi95don4TnD,2013-10-10 19:42:25,262809,2013-10-12 14:25:54,263144,1 days 18:43:29.000000000
98,1Pw9UkqkSj88E7SgDvtPsNbfao2LXvmkHX,2013-10-10 19:42:25,262809,2013-10-15 15:16:44,263873,4 days 19:34:19.000000000
99,1dPwUZjv2fuWw8MCFm6UJYncQZimbHwx6,2013-10-10 19:44:20,262810,2013-10-13 21:03:42,263430,3 days 01:19:22.000000000
100,1DoPqR7mTyeaDfox6FzRE9Wer1c4XFq1rS,2013-10-10 20:26:18,262813,2013-10-15 02:12:02,263734,4 days 05:45:44.000000000
101,1AXNQvRxpLXLF2z3WrrREq3LHgdbpsAm38,2013-10-10 20:26:18,262813,2013-10-15 15:16:44,263873,4 days 18:50:26.000000000
102,1HNVA4DQj3e31SxQwcYqUQJdKEaU7h3MYM,2013-10-11 00:07:25,262840,2013-10-15 15:16:44,263873,4 days 15:09:19.000000000
103,137tDrDAoh24crTwNqTcAa3HanFVupE2dB,2013-10-11 00:07:25,262840,2013-10-13 21:03:42,263430,2 days 20:56:17.000000000
104,1DX4wWS6TsTS7QEBxhRDBigwUtbUUAip4i,2013-10-11 00:52:50,262842,2013-10-15 15:16:44,263873,4 days 14:23:54.000000000
105,1PgttDwaoBn9fT1yCSS9SqW2y7XvutQhoD,2013-10-11 02:25:14,262853,2013-10-15 15:16:44,263873,4 days 12:51:30.000000000
106,1QCttxVQLvJMGGR1LFsRNxHfQeNWvH6zW,2013-10-11 03:05:11,262858,2013-10-15 15:16:44,263873,4 days 12:11:33.000000000
107,1EBevRx4iG9DeLiCEQJd3xiVLvnFfEYLvx,2013-10-11 03:18:46,262861,2013-10-15 15:16:44,263873,4 days 11:57:58.000000000
108,153RFdk3UJ1pZqd4hBVeguiPxphEfoujyG,2013-10-11 03:34:38,262862,2013-10-15 15:16:44,263873,4 days 11:42:06.000000000
109,15GPKoAvNjsK6Fzb1VmF6bxL8MmYcwUJas,2013-10-11 03:34:38,262862,2013-10-11 21:23:33,263000,0 days 17:48:55.000000000
110,1CsJoXHnkKrBhVhkf5W4jsGWrQF8Kt8hR7,2013-10-11 04:09:33,262864,2013-10-15 15:16:44,263873,4 days 11:07:11.000000000
111,1AQGdK9vXfvP8jN1k1bG9hGk9Dfy9gfHxP,2013-10-11 04:42:37,262868,2013-10-13 21:03:42,263430,2 days 16:21:05.000000000
112,1FeXvY7QRKXJxCgTRgtvnDUWy7bpQCpgP1,2013-10-11 05:16:25,262870,2013-10-15 15:16:44,263873,4 days 10:00:19.000000000
113,1DCyZLjUbSCdWpqJqhx1pQhcPpz8CSA41T,2013-10-11 05:16:25,262870,2013-10-15 15:16:44,263873,4 days 10:00:19.000000000
114,1BtpgJP35v9QwgEtPcKvVLs6Sc2bMD5UpA,2013-10-11 05:27:03,262874,2013-10-15 15:16:44,263873,4 days 09:49:41.000000000
115,125FCpENaKRu95psPP8gETM9u2EmvfAhF2,2013-10-11 06:14:51,262883,2013-10-15 15:16:44,263873,4 days 09:01:53.000000000
116,16vo4KisPbHmmNXq3ekAdtMDC1oKBxsxwT,2013-10-11 07:11:55,262895,2013-10-13 21:03:42,263430,2 days 13:51:47.000000000
117,1AfnpkhYunFmZWb7tw2vwgc3DB99CU9HzM,2013-10-11 08:15:24,262907,2013-10-12 14:25:54,263144,1 days 06:10:30.000000000
