date,height,balance,usd
2013-09-07 08:52:30,256568,100000000,119.0547
2013-09-07 13:58:24,256599,384752783,458.066271542301
2013-09-07 19:51:08,256642,704129675,838.2994721822249
2013-09-07 19:51:08,256642,704129675,838.2994721822249
2013-09-07 20:21:58,256644,754129675,897.826822182225
2013-09-08 11:39:47,256743,1112715577,1297.37072700315
2013-09-09 06:09:11,256879,1311729523,1574.322032750324
2013-09-09 16:10:24,256962,1361729523,1634.331432750324
2013-09-09 16:39:29,256965,1457287742,1749.019260495496
2013-09-09 17:03:20,256968,1601527027,1922.1335194810758
2013-09-10 19:50:17,257177,2101527027,2552.47269645366
2013-09-11 23:39:45,257410,1090843266,1368.4825123757882
2013-09-13 05:26:27,257670,1290843266,1633.0096722051521
2013-09-14 04:20:49,257868,1090843266,1353.5325054152581
2013-09-14 04:20:49,257868,1090843266,1353.5325054152581
2013-09-17 15:52:30,258516,1290843266,1626.053317844678
2013-09-17 20:10:55,258535,1490843266,1877.989917844678
2013-09-18 09:50:12,258618,1690793266,2135.54798065497
2013-09-18 19:59:12,258694,1891093266,2388.5358941549703
2013-09-18 21:33:22,258706,2091093266,2641.14489415497
2013-09-19 19:26:43,258881,2291093266,2845.393497496242
2013-09-20 21:02:50,259093,2491093266,3061.573552660128
2013-09-25 17:03:27,260089,2691093266,3321.42804169518
2013-09-26 07:09:29,260196,2891043266,3569.753256255958
2013-09-26 14:15:37,260240,3091043266,3816.705856255958
2013-09-26 16:27:50,260254,3291043266,4063.6584562559574
2013-09-26 18:15:48,260266,3491043266,4310.611056255958
2013-09-26 18:54:54,260273,3890743266,4804.145827355957
2013-09-26 18:54:54,260273,3890743266,4804.145827355957
2013-09-26 20:48:22,260279,4090743266,5051.098427355958
2013-09-27 06:53:27,260366,4290743266,5298.9949908744775
2013-09-27 08:11:06,260375,4490743266,5545.991590874478
2013-09-27 16:16:21,260429,4690743266,5792.988190874477
2013-09-27 18:57:39,260444,4881653266,6028.758795404478
2013-09-27 23:06:32,260471,5081653266,6275.755395404478
2013-09-28 00:22:44,260479,4081653266,5091.793061229478
2013-09-28 20:02:22,260629,4281653266,5341.289661229478
2013-09-28 21:03:32,260638,4481653266,5590.786261229478
2013-09-29 00:41:41,260660,3981653266,4984.261429951662
2013-09-29 04:27:55,260687,3981673266,4984.286466091662
2013-09-29 05:53:44,260699,4181673266,5234.647866091662
2013-09-29 10:25:37,260733,4381673266,5485.009266091662
2013-09-29 14:06:46,260756,4581673266,5735.370666091662
2013-09-30 00:21:59,260828,4781673266,5886.158502000478
2013-10-01 20:18:36,261151,5181673266,6502.678685087508
2013-10-01 20:18:36,261151,5181673266,6502.678685087508
2013-10-01 22:01:36,261158,5181773266,6502.804178887507
2013-10-01 22:26:02,261160,5381773266,6753.7917788875075
2013-10-01 22:32:34,261162,5581773266,7004.779378887507
2013-10-01 23:26:48,261169,5781773266,7255.766978887507
2013-10-02 05:34:00,261215,5981773266,5970.61725885891
2013-10-02 17:20:01,261307,6181773266,6170.24425885891
2013-10-03 01:53:16,261383,6381773266,7454.983312596688
2013-10-03 08:19:56,261437,4881773266,5702.7313125966875
2013-10-04 14:03:22,261673,5081773266,6163.911474128369
