,address_value,first_block_time,first_block_height,last_block_time,last_block_height,life_time
0,1EVdpU4DqQ6hQfK7QU91u2omW2vPpXVWoN,2013-11-06 04:48:56,268184,2014-03-25 19:54:49,292443,139 days 15:05:53.000000000
1,1MM81gT3E6MVFHqDU78RosuXqoCyYoyVC2,2013-11-16 21:49:27,269999,2014-09-21 02:34:05,321787,308 days 04:44:38.000000000
2,1AdWWknTBfGnJCfwFXMPPoLykgfM9nqfAj,2014-03-10 14:33:48,289881,2016-02-15 14:59:06,398563,707 days 00:25:18.000000000
3,1HRYuPUCBkXt1nrhZv1ZU1CX8aiuYUuKTP,2014-03-24 19:35:56,292296,2014-03-25 19:54:49,292443,1 days 00:18:53.000000000
4,1Dh6jq5Zsh5CE5NcwS7JcHMPDtBdEqj7Ze,2014-05-26 04:53:51,302663,2014-06-10 14:05:47,305122,15 days 09:11:56.000000000
5,1PtUKsv4Ccs5gpcb88GvcB2VPVMFoHJWjE,2014-05-30 22:25:17,303393,2014-05-30 22:44:50,303397,0 days 00:19:33.000000000
6,1DoNateaKTSiZcYDQ4kFkPm4tctBYukb2i,2014-07-04 01:54:50,309096,2014-07-04 17:17:03,309200,0 days 15:22:13.000000000
7,1BiTCoicBijsQJqaiSEPimkng3FMzAxFrG,2014-07-04 14:07:13,309172,2014-10-06 18:54:05,324157,94 days 04:46:52.000000000
8,1BonuSr7q9QR163hhpTzqTLPe2MqUXXyzV,2014-07-04 17:07:12,309199,2015-11-30 01:38:32,385965,513 days 08:31:20.000000000
9,1DiCE7R72BbA8MNyZTRXNDuSM8aJJQUupE,2014-07-07 14:04:59,309626,2014-10-12 19:19:00,325034,97 days 05:14:01.000000000
10,1shopQZK1zN6VrGStJ8STBFnTP63oxUiT,2014-07-08 14:29:34,309782,2014-07-09 20:18:49,309986,1 days 05:49:15.000000000
11,1EryGRqYr9K2mpyhZbYG5sfpGGgoiq2w4G,2014-07-08 15:02:51,309786,2014-07-08 15:02:51,309786,0 days 00:00:00.000000000
12,18Xj64eRsqR6GHsiPsdM3q74tMqWc7fpHx,2014-08-03 21:48:21,313864,2014-08-04 16:20:18,313968,0 days 18:31:57.000000000
13,1ZEUS1iomvST3FSz3JxdseCWWH67SeP6v,2014-08-04 15:57:43,313967,2014-12-20 21:09:27,335141,138 days 05:11:44.000000000
14,1KVidYZTY1W6DgsdgTfv5jEhZB3jkiDWRY,2014-08-18 13:48:02,316260,2014-08-19 17:31:59,316498,1 days 03:43:57.000000000
15,1BonUSgFnTiRx1HstKeNd5dZEomBRrBN46,2014-09-07 02:52:06,319487,2016-08-12 23:15:33,424913,705 days 20:23:27.000000000
16,1sYSTEMQCbXykxa26a5h927WTZgvY7nzy,2014-09-09 00:24:40,319766,2017-09-21 00:40:23,486225,1108 days 00:15:43.000000000
17,1DpAKG9KDBQ7xRgi1bgvE9Rx4yNCqeGjgS,2014-09-14 08:51:26,320628,2014-09-15 19:02:01,320850,1 days 10:10:35.000000000
18,13pVgXj3Dc2xZNDeajcMYoZtErGbqMd3R7,2014-09-19 21:35:56,321577,2014-09-20 02:24:54,321610,0 days 04:48:58.000000000
19,1PNDYLR2w3EK8p4suTsujodqC3KyoSZt8h,2014-09-19 21:35:56,321577,2014-09-20 02:24:54,321610,0 days 04:48:58.000000000
20,1HFE85aHiSHztLHYcDdhtwwT8ewfrYi4S2,2014-09-24 19:58:09,322378,2014-09-26 22:04:04,322704,2 days 02:05:55.000000000
21,1CRYPtSKtQUJGxPBN72hZTzmYwvvSzm9ik,2014-09-26 03:07:24,322596,2014-09-26 03:07:24,322596,0 days 00:00:00.000000000
22,1DiCeTjBX2JcRN4K52FiTvLu3hdjNZaKhW,2014-09-26 22:37:48,322706,2015-07-27 14:29:41,367206,303 days 15:51:53.000000000
23,1GH1kUMvi3oSr8Ei4xonm3JsZFrjaJ74Sr,2014-09-28 17:43:14,322947,2014-09-28 20:41:53,322960,0 days 02:58:39.000000000
24,1CExstj2rh9NEcDMb7F2PQTDdDHasTBvrn,2014-09-28 18:52:13,322950,2014-09-29 10:31:44,323048,0 days 15:39:31.000000000
25,1EtPcQkEJmsz5QJm37GSwJ5dpBmCgNPVxV,2014-09-29 13:00:39,323057,2014-09-30 08:55:46,323168,0 days 19:55:07.000000000
26,1BcXJWbUeK4oEg3sNuwX3z5ww3f2ovskNi,2014-10-06 18:54:05,324157,2014-11-15 09:04:41,330103,39 days 14:10:36.000000000
27,1Bienq86fop2pKzrk1NReJNxWGyESM2dEg,2014-10-10 23:22:00,324770,2014-10-10 23:36:35,324771,0 days 00:14:35.000000000
28,1Betv4ceCHZcVJyLFbVVj2LdTkSZRFZ62v,2014-10-21 23:26:48,326375,2015-02-02 23:04:10,341697,103 days 23:37:22.000000000
29,1shopAH6JmxABLCbbG4wNAUZVh3ZjtGfF,2014-10-28 21:49:24,327415,2015-07-17 11:05:36,365699,261 days 13:16:12.000000000
30,1FxyLQ35zpAAPGVHKE1PZY2bzZn4sidjme,2014-10-28 22:03:19,327417,2014-10-30 14:59:56,327688,1 days 16:56:37.000000000
31,1wiN3QJN7kQnAQV2vqsmt4urHgFFPXMsM,2014-11-14 15:14:40,329989,2015-07-03 04:16:01,363587,230 days 13:01:21.000000000
32,1tFoJ1XQANKKnx1jnDivyxQjYmJnMp4oS,2014-11-16 18:42:32,330306,2014-11-16 18:45:35,330307,0 days 00:03:03.000000000
33,1KjP9gH1RTPE9j9MH9w2uC9ED17Dyzqa2K,2014-11-16 18:45:35,330307,2014-11-16 19:29:14,330309,0 days 00:43:39.000000000
34,19MbqJMULcWKKHYT9RcN8moipFkyJTTWHG,2014-11-16 19:29:14,330309,2014-11-16 19:48:17,330310,0 days 00:19:03.000000000
35,19uG8ZBDDR8eU9vx4Ysc9HNT5U9PWAnbjT,2014-11-16 19:29:14,330309,2014-11-16 19:48:17,330310,0 days 00:19:03.000000000
36,1DiCEUkFJmquE2ycBDMfor9sVDSz3ggeA8,2014-11-25 18:16:06,331587,2014-11-28 10:42:25,331975,2 days 16:26:19.000000000
37,1ACQYaw8tCL9dhtig6wERnYiP4pABjGgL9,2014-11-27 03:13:20,331776,2014-11-28 10:42:25,331975,1 days 07:29:05.000000000
38,13fhbzZW2x5gVctUDBjTxcnMp8EDvYx4s8,2014-12-02 05:27:08,332530,2015-01-10 04:24:55,338296,38 days 22:57:47.000000000
39,1EVVtdVMquD897BByHrvq1D1pjWgpmKMwH,2014-12-04 01:06:11,332768,2014-12-04 05:34:22,332795,0 days 04:28:11.000000000
