,address_value,first_block_time,first_block_height,last_block_time,last_block_height,life_time
0,15SNY5L6b58FwQNB3oxRMrPxDTs5nioRdf,2014-05-06 14:17:27,299383,2014-06-07 10:18:57,304629,31 days 20:01:30.000000000
1,1L7SLmazbbcy614zsDSLwz4bxz1nnJvDeV,2014-06-03 17:32:42,304051,2014-09-16 10:53:45,320958,104 days 17:21:03.000000000
2,1ApF4XayPo7Mtpe326o3xMnSgrkZo7TCWD,2014-06-09 23:58:11,305014,2014-06-20 21:43:02,306898,10 days 21:44:51.000000000
3,1PnPJfx4ct8YHRnTnx1VrSnrZeQik86BXa,2014-06-17 23:48:53,306402,2014-06-24 17:58:19,307602,6 days 18:09:26.000000000
4,1HYDwtwtotSedCDCHDcgbRks2a7yPcicwd,2014-06-20 22:04:53,306904,2014-07-03 12:57:41,309017,12 days 14:52:48.000000000
5,1CgD9eHj75MP1thzhqU1nEb5jyjkYfMMbK,2014-06-30 23:40:28,308671,2014-07-03 12:57:41,309017,2 days 13:17:13.000000000
6,1CeA899xpo3Fe6DQwZwEkd6vQfRHoLuCJD,2014-07-02 12:10:12,308876,2014-07-13 14:57:50,310570,11 days 02:47:38.000000000
7,1JTEjiizLihT6GbvoW52Abmg6rV1KyD3fw,2014-07-11 17:31:05,310265,2014-07-26 12:02:33,312559,14 days 18:31:28.000000000
8,1M8oK3D2G8ipTy7sCxiatrHC35CpAgmrrw,2014-07-22 16:38:49,311990,2014-08-15 10:05:13,315725,23 days 17:26:24.000000000
9,13Kqgurx7eQg3G29NwV7ouJ8UHJRSUwwAe,2014-08-14 15:42:44,315599,2014-09-14 11:17:48,320646,30 days 19:35:04.000000000
