date,height,balance,usd
2016-02-05 18:16:29,396882,400000000,1541.352
2016-02-08 14:45:42,397396,339071000,1258.29587171
2016-02-09 01:55:00,397463,639071000,2385.7862479100004
2016-02-11 04:35:15,397829,1039071000,3924.7789812000005
2016-02-11 13:03:47,397890,978535000,3696.122402
2016-02-12 19:41:20,398121,938058000,3593.9440930799997
2016-02-15 17:01:34,398578,898811000,3590.6151233500004
2016-02-17 12:05:12,398839,842846000,3502.5392660599996
2016-02-20 19:31:10,399358,740254000,3231.33455318
2016-02-24 19:36:45,399870,0,0.0
