,address_value,first_block_time,first_block_height,last_block_time,last_block_height,life_time
0,19a93M9JGX377yfVzWRBs4abcUpwLfXsvE,2016-04-27 06:26:34,409100,2016-05-04 18:01:59,410222,7 days 11:35:25.000000000
1,1E8EgtMUgQe1HMKLdc2x9UKTVFKmXDemWx,2016-04-28 17:53:07,409297,2016-05-04 18:01:59,410222,6 days 00:08:52.000000000
2,183y8kxJ4h2Gb2zwVX2o7TVezt7BcB5oPy,2016-04-28 23:16:49,409332,2016-05-20 21:14:33,412625,21 days 21:57:44.000000000
3,1HxkJ3vz2tvpcHgdt9yyY4XivdY9jKkcZH,2016-04-29 18:29:56,409454,2016-06-25 14:48:34,417923,56 days 20:18:38.000000000
4,18MHyP4mR3A9AGSo1W4x5VcpN5wez7KZwp,2016-05-01 15:05:15,409737,2016-05-02 23:47:12,409947,1 days 08:41:57.000000000
5,1DkNJXaKgv6zJkxkAs8m8fdJC9y7TeJucC,2016-05-01 15:58:28,409741,2016-08-02 16:32:09,423341,93 days 00:33:41.000000000
6,1KYyk69KC1tgjUquqsbQUchEgwaRomTJdj,2016-05-02 23:47:12,409947,2016-05-04 18:01:59,410222,1 days 18:14:47.000000000
7,1A3e6RCAA4LWKsrFwKa45wj5n7nbcAhVt,2016-05-04 16:03:47,410211,2016-05-04 18:01:59,410222,0 days 01:58:12.000000000
8,18z6G9UvqSKknAox7FgPWMn9mA2vuD5sAk,2016-06-13 19:18:39,416165,2016-06-25 14:48:34,417923,11 days 19:29:55.000000000
9,1DicihMySMA98Mot3Uvkxwqcqc49jgbvug,2016-07-29 18:48:35,422785,2016-08-02 16:32:09,423341,3 days 21:43:34.000000000
10,1FDSUkdK85poVzJEzYa6yoBvmgYeGTNSUF,2016-07-29 21:02:16,422797,2016-08-02 16:32:09,423341,3 days 19:29:53.000000000
11,1DrVPdEZo26qvLfGxwEVNDq5fsZZkuaHpo,2016-07-30 00:18:49,422815,2016-08-02 16:32:09,423341,3 days 16:13:20.000000000
12,1G33LLfiBytZEW4K6kNVPRmRZg3N9WmmAF,2016-07-31 19:27:36,423058,2016-08-02 16:32:09,423341,1 days 21:04:33.000000000
13,162TZrk2vQmppjE6u8ShwyaoBzgAeRkXpx,2016-08-02 16:32:09,423341,2016-08-02 16:32:09,423341,0 days 00:00:00.000000000
