,address_value,first_block_time,first_block_height,last_block_time,last_block_height,life_time
0,1ELm9vDpkVQRrNCeAu8CZpFwNgRiJyPy6R,2016-03-08 02:09:05,401631,2016-03-24 12:44:09,404067,16 days 10:35:04.000000000
1,1KGusS7xB9hnqZQdCZ1G8Tno16RfTS95ey,2016-03-08 09:59:58,401679,2016-03-24 12:44:09,404067,16 days 02:44:11.000000000
2,15MHXRdpHgRUFQpYQDezysPWDsk15gv9H3,2016-03-08 16:39:12,401728,2016-03-24 12:44:09,404067,15 days 20:04:57.000000000
3,1GBvqbb35kveaWSeNqbYxuH9XzpX3HSnTN,2016-03-09 00:24:16,401774,2016-03-24 12:44:09,404067,15 days 12:19:53.000000000
4,1QJJQQ1CD5gPseqiDkuAjLcd6x2JzkC3xM,2016-03-09 20:37:45,401914,2016-03-24 12:44:09,404067,14 days 16:06:24.000000000
5,18Z68s7peags6KfaR4xB7BTJfFVGsbfJA2,2016-03-11 03:25:37,402127,2016-03-24 12:44:09,404067,13 days 09:18:32.000000000
6,18cfossjDMSrmtmeshBrbiFzzGSHQyaVoV,2016-03-13 01:00:58,402403,2016-03-24 12:44:09,404067,11 days 11:43:11.000000000
7,1PUTNzga1y5vCpbuzDmdDiVdmSoHEDSLoX,2016-03-13 20:00:56,402509,2016-03-24 12:44:09,404067,10 days 16:43:13.000000000
8,18ovGCN1715DBVTGniWF8Hdt85shRfq1Rh,2016-03-14 06:05:09,402563,2016-03-24 12:44:09,404067,10 days 06:39:00.000000000
9,1Fo8138YQqCTLHF2W6VEvdyUgsqUaK17Uf,2016-03-15 16:42:26,402792,2016-03-24 12:44:09,404067,8 days 20:01:43.000000000
10,19pkAxxzLqk9Y3fk3QJ3q4YeCVsE6PLhV4,2016-03-17 04:11:16,403022,2016-03-24 12:44:09,404067,7 days 08:32:53.000000000
