date,height,balance,usd
2016-12-27 02:55:50,445274,100000000,931.1138
2016-12-27 07:44:48,445301,0,0.0
2017-01-19 12:17:43,448946,100000000,898.0213
2017-01-23 10:56:47,449637,0,0.0
2017-02-03 23:25:50,451437,100000000,1018.1113
2017-02-04 02:27:53,451462,200000000,2067.305
2017-02-04 15:22:19,451544,0,0.0
2017-02-09 10:30:30,452248,80000000,791.158
2017-02-09 14:26:03,452273,212810,2.10457917475
2017-02-15 05:06:18,453124,100212810,1011.26380039803
2017-02-15 07:47:21,453139,188500,1.9021842255
2017-02-17 05:36:34,453414,100188500,1055.1076359124997
2017-02-26 13:17:09,454810,0,0.0
