address,malware,start
135N2nfAkextd6E25quXpM98qLSi2BccCb,cryptolocker,2013-09-05
1AEoiHY23fbBn8QiJ5y6oAjrhRY1Fb85uc,cryptolocker,2013-09-05
18iEz617DoDp8CNQUyyrjCcC7XCGDf5SVb,cryptolocker,2013-09-05
1KP72fBmh3XBRfuJDMn53APaqM6iMRspCh,cryptolocker,2013-09-05
19DyWHtgLgDKgEeoKjfpCJJ9WU8SQ3gr27,cryptodefense,2014-02-20
1EmLLj8peW292zR2VvumYPPa9wLcK4CPK1,cryptodefense,2014-02-20
1PoebUjR5pdH88tc9ECQ1PCLaCrtPnG9fm,cryptowall,2013-11-01
128pJdREzcR6xorYPQAPzGf8RwMQjRBzDt,cryptowall,2013-11-01
15WUYqKerTtxi4rUEmnakw5gRMkr3nZCQd,cryptowall,2013-11-01
1L66AcnbuZkYjs8eE6uVbTUxmorHYGKxFJ,cryptowall,2013-11-01
16REtGSobiQZoprFnXZBR2mSWvRyUSJ3ag,cryptowall,2013-11-01
16Z6sidfLrfNoxJNu4qM5zhRttJEUD3XoB,cryptowall,2013-11-01
12LE1yNak3ZuNTLa95KYR2CQSKb6rZnELb,cryptowall,2013-11-01
1JYYzNHDaGC7noiE4eKatuYA4AThqVocDd,cryptowall,2013-11-01
1BhLzCZGY6dwQYgX4B6NR5sjDebBPNapvv,cryptowall,2013-11-01
16yd1Wj2NZa2uLZ6W4UDCDJ2Ttw92uFaT7,cryptowall,2013-11-01
1LGnuv6KX9SXB8eM72dnBAcECeaC8Z2zje,cryptowall,2013-11-01
1L7SLmazbbcy614zsDSLwz4bxz1nnJvDeV,cryptowall,2013-11-01
19yqWit95eFGmUTYDLr3memcDoJiYgUppc,cryptowall,2013-11-01
16N3jvnF7UhRh74TMmtwxpLX6zPQKPbEbh,cryptowall,2013-11-01
1ApF4XayPo7Mtpe326o3xMnSgrkZo7TCWD,cryptowall,2013-11-01
1MrKJhiECV3RufrY1dSybSXRCwSw11Co6i,dma locker,2015-12-21
1C8yA7wJuKD4D2giTEpUNcdd7UNExEJ45r,dma locker,2015-12-21
166vHLnGB1pCQGxdBkRiMkHW5WGQDbsw6s,dma locker,2015-12-21
1BA48s9Eeh77vwWiEgh5Vt29G3YJN1PRoR,dma locker,2015-12-21
18mfoGHSfe9h145e8djHK5rChDTnGfPDU9,dma locker,2015-12-21
16hHkyuzCDRFzoejVuqajqrnbmKHSmEfQM,dma locker,2015-12-21
1382JAg5xbQv7QNwq1svDeyw6ELtNCmujG,dma locker,2015-12-21
1KXw7aJR4THWAxtnxZYzmysdLXVhLfa97n,dma locker,2015-12-21
13dN96pRTQDhpWRqKyLTbgRxeTN52p2CqY,mischa,2016-03-01
1BAdEKq6zE1JDL8g2pA1MDRHbW1wvYCWhT,goldeneye,2016-03-01
1MGnopAa6MAGjUpCEmRiSAcVKZNB6n8gnR,goldeneye,2016-03-01
17xV74Hp2zNR74yG3AJvPpNMchPJHm2iUo,goldeneye,2016-03-01
1Mz7153HMuxXTuR2R1t78mGSdzaAtNbBWX,notpetya,2016-03-01
1PGAUBqHNcwSHYKnpHgzCrPkyxNxvsmEof,keranger,2016-03-04
1Lhgda4K77rFMTkgBKqmsdinDNYYVbLDJN,keranger,2016-03-04
1KGusS7xB9hnqZQdCZ1G8Tno16RfTS95ey,keranger,2016-03-04
1KPPqHpd8Z9S6pQH1qVovzyejyfDMghp4u,keranger,2016-03-04
1J9PMCpbrnicZoBUdyuNBwi4QvXwq6Korq,keranger,2016-03-04
16hhyeg7WMh4Go7JqNKRwmD95bRd4aenwz,keranger,2016-03-04
13AM4VW2dhxYgXeQepoHkHSQuy6NgaEb94,wannacry,2017-05-12
12t9YDPgwueZ9NyMgw519p7AA8isjr6SMw,wannacry,2017-05-12
115p7UMMngoj1pMvkpHijcRdfJNXj6LrLn,wannacry,2017-05-12
1EfuwPcYeCTes24X8CVGMUCR1H4yZ4CyoE,ctb-locker,2014-07-01
1EhJcMYwQKKWQcLFBjjYaMGTVncpQMJbbv,ctb-locker,2014-07-01
1Bj2z4j3weU1g9jwu4oHQQA6x8x2G2FRRm,ctb-locker,2014-07-01
1MScgv8kvbVLwGbciuw44gvy23rocaNCc8,ctb-locker,2014-07-01
1JXMiCkbrPiDWxoZ8oJ9yQZutHoaGQtXCF,ctb-locker,2014-07-01
12UrsknT8hqYGpi8NToS2GWCWaLKtR2UXn,ctb-locker,2014-07-01
1PAVxqYtWD1RBAjE5voSDnUSefGGUvCwpm,ctb-locker,2014-07-01
1N3qTaZsUqU2owUVjmijVyHB4uiid2JoXd,ctb-locker,2014-07-01
1PWLk2FP6r3FzKcqq9UgsYVZ9Ev6gufCsJ,ctb-locker,2014-07-01
1BLeMsrSLB8H1fDDLRhQbLHScoC58ncf4x,ctb-locker,2014-07-01
1A6GJMhpPhCcM557o62scEtuVXNAFe74fa,ctb-locker,2014-07-01
1BGDTqDZyD446Q71eGhdmWLzyCHVPZUJxv,ctb-locker,2014-07-01
1KpP1YGGxPHKTLgET82JBngcsBuifp3noW,cryptotorlocker2015,2015-02-05
1NRn15kJnVRrptTSQJJnMD9KJcWkVFh1Gv,teslacrypt,2015-02-01
15Y2TmHrxjmRFxfNUttwb9aU4DifvDpWKM,teslacrypt,2015-02-01
1JthvnK8aoieXpx8YCAEtQwhfZSjSkdNox,teslacrypt,2015-02-01
1L2jriaKw39jZysdH7nhe6eMSLSPNHvvHx,teslacrypt,2015-02-01
1GQf1kEFK3SmVw8AMjRcn7jX1mvrGSDTkK,teslacrypt,2015-02-01
1HqoNfpAJFMy9E36DBSk1ktPQ9o9fn2RxX,chimera,2015-11-01
15QzHEbNZWp2w1i2mfZSx7pV5YNM4ahszB,chimera,2015-11-01
1GaVKrVT17DN4dnWbTqGB9qG3rQrk1JBe9,chimera,2015-11-01
1MZsTFUNMGxQxz38wWm8CtBoycW7VD5z7v,chimera,2015-11-01
1DGqEKZJdCd4YftWPuK5Z1HFBdeyz9RNDU,chimera,2015-11-01
1AoNMLZfhw7cbMCKAhaKHiveMdwFyVUGeA,hi buddy!,2016-01-01
